language,runtime,id,energy_usage,execution_time,memory_usage,storage,cpu_usage
c,wasmer,0,1779.577,929650,1.9,67953,99.27966666666667
c,wasmer,1,1779.99,929640,2.0,67953,99.58966666666667
c,wasmer,2,1778.562,929620,1.9,67953,99.20066666666666
c,wasmer,3,1780.095,929850,2.399,67953,99.36466666666666
c,wasmer,4,1780.2530000000002,929460,1.8980000000000001,67953,99.15133333333334
c,wasmer,5,1779.858,929920,2.499,67953,99.431
c,wasmer,6,1779.9609999999998,929820,1.9,67953,99.75266666666666
c,wasmer,7,1780.518,929800,1.998,67953,99.45033333333333
c,wasmer,8,1780.101,930030,2.498,67953,99.819
c,wasmer,9,1778.983,929670,2.0,67953,99.88033333333334
c,wasmtime,0,1703.687,890310,3.799,67953,99.195
c,wasmtime,1,1701.836,889520,3.399,67953,99.64733333333334
c,wasmtime,2,1701.944,889660,3.299,67953,99.61133333333333
c,wasmtime,3,1703.229,889860,3.3,67953,99.73166666666667
c,wasmtime,4,1701.534,889890,3.299,67953,99.44099999999999
c,wasmtime,5,1703.7640000000001,889820,3.299,67953,99.77233333333334
c,wasmtime,6,1702.436,890030,3.694,67953,98.59366666666666
c,wasmtime,7,1701.3509999999999,889590,3.299,67953,99.372
c,wasmtime,8,1702.458,890040,3.799,67953,99.26966666666665
c,wasmtime,9,1701.522,889410,3.299,67953,99.70033333333333
go,wasmer,0,3403.455,1778210,4.582,704996,99.90066666666667
go,wasmer,1,3404.379,1778270,4.584,704996,98.286
go,wasmer,2,3415.5200000000004,1787340,10.117,704996,109.68966666666665
go,wasmer,3,3405.1490000000003,1778980,4.5840000000000005,704996,98.24933333333333
go,wasmer,4,3406.437,1778940,4.581,704996,98.73333333333333
go,wasmer,5,3414.8689999999997,1787270,10.199,704996,106.47533333333332
go,wasmer,6,3405.897,1778890,4.582000000000001,704996,100.00066666666667
go,wasmer,7,3404.788,1778190,4.582000000000001,704996,98.93400000000001
go,wasmer,8,3402.592,1778250,4.583,704996,99.57466666666666
go,wasmer,9,3406.391,1778870,4.596,704996,99.48966666666666
go,wasmtime,0,3744.696,1958670,9.39,704996,98.42366666666668
go,wasmtime,1,3738.187,1955950,10.251,704996,106.27433333333333
go,wasmtime,2,3729.626,1947990,5.079000000000001,704996,98.42866666666667
go,wasmtime,3,3730.475,1948210,5.079000000000001,704996,98.574
go,wasmtime,4,3729.176,1947230,5.08,704996,98.70666666666666
go,wasmtime,5,3731.3360000000002,1949150,5.079,704996,98.76566666666668
go,wasmtime,6,3727.6980000000003,1947080,5.079,704996,99.021
go,wasmtime,7,3742.572,1957000,10.017,704996,106.44533333333334
go,wasmtime,8,3727.629,1947150,5.096,704996,98.90733333333333
go,wasmtime,9,3728.7439999999997,1948830,5.095000000000001,704996,99.32933333333334
javascript,wasmer,0,27831.413999999997,14589150,14.782,3043595,100.22766666666666
javascript,wasmer,1,27659.983999999997,14483500,10.785,3043595,99.90866666666666
javascript,wasmer,2,27644.444,14501840,10.785,3043595,99.916
javascript,wasmer,3,27848.737999999998,14573190,14.879,3043595,100.34433333333334
javascript,wasmer,4,27776.001,14559130,10.785,3043595,99.87066666666668
javascript,wasmer,5,27661.194,14509260,10.785,3043595,99.92766666666667
javascript,wasmer,6,27659.159,14508290,10.785,3043595,99.875
javascript,wasmer,7,27915.468,14617760,10.785,3043595,99.91300000000001
javascript,wasmer,8,27780.62,14554980,10.785,3043595,99.89333333333333
javascript,wasmer,9,27798.481,14571210,15.381,3043595,100.29199999999999
javascript,wasmtime,0,35153.998999999996,18407210,9.285,3043595,99.89233333333334
javascript,wasmtime,1,35214.92,18457380,9.285,3043595,99.91466666666668
javascript,wasmtime,2,35319.515,18501000,9.285,3043595,99.896
javascript,wasmtime,3,35208.428,18457300,13.983,3043595,100.169
javascript,wasmtime,4,35405.82,18545850,14.08,3043595,100.22466666666666
javascript,wasmtime,5,35491.068,18542940,14.280000000000001,3043595,100.21100000000001
javascript,wasmtime,6,35068.801,18361780,9.285,3043595,99.87
javascript,wasmtime,7,35198.815,18450600,14.083,3043595,100.15333333333335
javascript,wasmtime,8,35393.929000000004,18533060,9.285,3043595,99.93666666666667
javascript,wasmtime,9,35196.542,18445750,9.385,3043595,99.89666666666666
rust,wasmer,0,1100.942,577150,3.583,6153044,100.17866666666667
rust,wasmer,1,1100.473,576210,2.799,6153044,99.73766666666666
rust,wasmer,2,1100.58,577480,3.893,6153044,100.08366666666666
rust,wasmer,3,1100.2910000000002,576280,2.799,6153044,99.43133333333333
rust,wasmer,4,1100.279,576400,2.799,6153044,99.47333333333334
rust,wasmer,5,1102.6979999999999,577460,3.697,6153044,100.166
rust,wasmer,6,1100.412,576180,2.699,6153044,97.82333333333334
rust,wasmer,7,1100.512,576220,2.699,6153044,99.86
rust,wasmer,8,1100.47,576320,2.699,6153044,99.27366666666667
rust,wasmer,9,1100.646,576300,2.799,6153044,99.34500000000001
rust,wasmtime,0,1115.757,583990,2.9,6153044,99.089
rust,wasmtime,1,1115.238,583870,2.9,6153044,98.86000000000001
rust,wasmtime,2,1117.436,584580,2.898,6153044,99.37
rust,wasmtime,3,1119.014,586990,4.884,6153044,100.733
rust,wasmtime,4,1115.839,583770,2.898,6153044,99.13799999999999
rust,wasmtime,5,1117.405,584490,2.996,6153044,99.20566666666667
rust,wasmtime,6,1115.738,583830,2.996,6153044,98.98333333333333
rust,wasmtime,7,1115.29,583870,2.9,6153044,99.194
rust,wasmtime,8,1115.783,583840,2.9,6153044,97.42733333333332
rust,wasmtime,9,1117.619,584430,2.898,6153044,99.27766666666666
